rho_tempered,coeff_face,w,r_bary
0.7291605132540842,0.046686410661821616,0.9413506823101906,2.271508929493173
0.7263134926620536,0.0467879013399354,0.9422461882935474,2.2772270326057593
0.7235902898858986,0.04688339090885733,0.9430887433134468,2.282683530945534
0.7209944651696136,0.046972995552651074,0.9438793725233917,2.287873228469647
0.7185292145119918,0.04705683344091123,0.9446191185962755,2.2927915773883716
0.7161973528728471,0.04713502435545776,0.9453090384305095,2.2974347038045777
0.714001305972569,0.04720768914445301,0.9459501983334088,2.301799416997063
0.7119431109068854,0.047274949020059416,0.9465436678240535,2.3058832021311404
0.7100244254921628,0.047336924718872846,0.9470905122253485,2.3096841967344552
0.7082465459538776,0.04739373554684393,0.9475917842368581,2.313201151816772
0.706610432282487,0.04744549833230288,0.94804851469679,2.3164333790222242
