K_face_raw,K_face
-7.726552460195929,-0.6568030199420838
-7.59616515916996,-0.6457193220681445
-7.4688694224205285,-0.6348984255876644
-7.344838733496768,-0.6243550776365192
-7.224246550392039,-0.6141040231781913
-7.107264564375662,-0.6041598569940883
-6.994060903888297,-0.5945368710039415
-6.884798341953399,-0.5852489018850946
-6.779632565553719,-0.5763091839591891
-6.678710563356411,-0.5677302121391863
-6.582169184116314,-0.5595236193850537
-6.490133912186991,-0.5517000726149024
-6.4027178990337,-0.544269190377817
-6.320021280735716,-0.5372394848374838
-6.242130801505418,-0.5306183297690695
-6.169119752588966,-0.5244119553654135
-6.101048224926348,-0.5186254697146393
-6.037963663026137,-0.5132629058828094
-5.979901697038535,-0.5083272926450959
-5.926887220361063,-0.5038207460886865
-5.878935671623395,-0.4997445785891389
-5.836054472876018,-0.49609942106499005
-5.798244570494791,-0.4928853539638297
-5.765502021902371,-0.4901020421430805
-5.737819569815478,-0.4877488686904004
-5.715188146404277,-0.48582506278619664
-5.697598252471796,-0.4843298169420984
-5.685041161430924,-0.483262389346179
-5.6775099043072075,-0.48262218759406517
-5.674999999999997,-0.48240883076548813
-5.6775099043072075,-0.48262218759406517
-5.685041161430924,-0.483262389346179
-5.697598252471796,-0.4843298169420984
-5.715188146404277,-0.48582506278619664
-5.737819569815478,-0.4877488686904004
-5.765502021902371,-0.4901020421430805
-5.798244570494791,-0.4928853539638297
-5.836054472876018,-0.49609942106499005
-5.878935671623395,-0.4997445785891389
-5.926887220361063,-0.5038207460886865
-5.979901697038542,-0.5083272926450966
-6.037963663026122,-0.5132629058828083
-6.101048224926348,-0.5186254697146393
-6.169119752588966,-0.5244119553654135
-6.242130801505418,-0.5306183297690695
-6.320021280735716,-0.5372394848374838
-6.4027178990337,-0.544269190377817
-6.490133912186991,-0.5517000726149024
-6.582169184116314,-0.5595236193850537
-6.678710563356418,-0.567730212139187
-6.779632565553719,-0.5763091839591891
-6.884798341953406,-0.5852489018850953
-6.9940609038883,-0.5945368710039418
-7.107264564375662,-0.6041598569940883
-7.224246550392046,-0.614104023178192
-7.344838733496768,-0.6243550776365192
-7.4688694224205285,-0.6348984255876644
-7.5961651591699635,-0.6457193220681449
-7.726552460195943,-0.656803019942085
